Org|OrgSector|RverMonthYear|RverReviewer|RverPosition|RverLoc|RverRecom|RvReviewAbout|RvScore|RvComment|topic0|topic1|topic2|topic3|topic4|topic5|topic6|topic7|topic8|topic9
Deutsche Bank AG|Banken|September 2013|5|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung bei DEUTSCHE BANK AG in Frankfurt am Main gearbeitet.|  |Kollegenzusammenhalt|3|es gib gute und schlechte Kollegen, wie Ã¼berall. Im Vertrieb wÃ¼rde ich sogar 5 Sterne vergeben|0.25078642|0.07927898|0.09596049|0.15052558|0.07415007|0.073762864|0.08000181|0.0698509|0.057643674|0.068039164
Deutsche Bank AG|Banken|September 2013|5|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung bei DEUTSCHE BANK AG in Frankfurt am Main gearbeitet.|  |Gleichberechtigung|5|Geschlecht, Behinderung und sexuelle Orientiewrung spielen keine Rolle bei der Karriere. Manchmal haben es Frauen sogar leichter, da der Arbeitgeber - wenn sie Karriere machen wollen (was leider die meisten wohl nicht woillen, weil es Arbeit macht)- Frauen gerne in FÃ¼hrungsrollen sieht.|0.048287436|0.041089553|0.05464426|0.044122994|0.03858036|0.103215374|0.47871742|0.112598255|0.036330573|0.04241375
Deutsche Bank AG|Banken|September 2013|5|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung bei DEUTSCHE BANK AG in Frankfurt am Main gearbeitet.|  |Umgang mit Ã¤lteren Kollegen|3|jÃ¼ngere sind billiger....|0.10377999|0.08807539|0.08262382|0.0866486|0.17485648|0.09531979|0.09096781|0.08549164|0.084302|0.10793445
Deutsche Bank AG|Banken|September 2013|5|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung bei DEUTSCHE BANK AG in Frankfurt am Main gearbeitet.|  |Umwelt-/Sozialbewusstsein|5|viele CSR-ArtivitÃ¤ten, MÃ¶glichkeiten der Freistellung|0.09309646|0.11614951|0.12950104|0.09728435|0.09309802|0.10274932|0.092404835|0.09094333|0.09104586|0.09372725
Deutsche Bank AG|Banken|September 2013|5|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung bei DEUTSCHE BANK AG in Frankfurt am Main gearbeitet.|  |Work-Life-Balance|3|Es wird viel verlangt|0.08988719|0.09648166|0.11907598|0.09082603|0.09611308|0.13182692|0.094164975|0.09555302|0.09351056|0.0925606
Deutsche Bank AG|Banken|August 2013|6|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung bei Deutsche Asset Management International GmbH in Frankfurt am Main gearbeitet.|  |Overall|5.0|- internationales Umfeld - interessante...|0.094028614|0.08684915|0.1272341|0.11013584|0.09330858|0.08606268|0.09030952|0.13531758|0.08756083|0.08919306
Deutsche Bank AG|Banken|August 2013|7|Ex-Angestellte/r oder Arbeiter/in|Hat bei DEUTSCHE BANK AG in Frankfurt am Main gearbeitet.|  |Overall|3.6|Unternehmenskultur war nichts fÃ¼r mich, stark...|0.10112458|0.08220655|0.17656295|0.1370065|0.080164686|0.08187715|0.080023624|0.09490839|0.07845677|0.08766879
Deutsche Bank AG|Banken|August 2013|8|Ex-Angestellte/r oder Arbeiter/in|Hat bei Deutsche Bank Bauspar-AG in Frankfurt am Main gearbeitet.|  |Overall|2.0|Starres Prozessdenken. Projekte existieren nur...|0.09270153|0.08350527|0.13176472|0.1086089|0.085929655|0.09448947|0.10204465|0.11850883|0.08474273|0.09770417
Deutsche Bank AG|Banken|August 2013|9|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich IT bei DEUTSCHE BANK AG in Eschborn gearbeitet.|  |Overall|3.5|Solider Arbeitgeber|0.12849481|0.101838626|0.095074594|0.0974507|0.09395854|0.09269393|0.10872491|0.09129229|0.094464086|0.096007526
Deutsche Bank AG|Banken|August 2013|10|Ex-Angestellte/r oder Arbeiter/in|Hat bis 2013 bei DEUTSCHE BANK AG in Frankfurt am Main gearbeitet.|  |Overall|3.0|Deutsche Bank - nicht alles Gold was glÃ¤nzt|0.21524042|0.08677046|0.08593276|0.09091213|0.08691205|0.09829675|0.08307024|0.08195322|0.08579567|0.08511633
Deutsche Bank AG|Banken|August 2013|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung bei DEUTSCHE BANK AG in Berlin gearbeitet.|  |Overall|4.0|-flexible Arbeitszeitgestaltung und Fahrtweg...|0.09050157|0.08979308|0.08976182|0.09059562|0.0906506|0.09018905|0.09028893|0.18863803|0.09002017|0.08956115
